,TOTAL,,,,NON - HISPANIC WHITE,,BLACK,,AMERICAN INDIAN & ALASKA NATIVE,,ASIAN,,NATIVE HAWAIIAN & OTHER PACIFIC ISLANDER,,TWO OR MORE RACES,,HISPANIC WHITE,,HISPANIC ALL OTHER,
100 Administrative services managers 0100 (SOC 11-3011),780,188,100,4.7,17.9,9.7,75,10.6,0,4.7,6.4,5.7,0,4.7,0,4.7,0,4.7,1.3,1.6
          Male,365,123,46.8,13,7.1,5.5,32.7,12.4,0,4.7,6.4,5.7,0,4.7,0,4.7,0,4.7,1.3,1.6
          Female,410,149,52.6,12.8,10.9,8.2,42.3,12.4,0,4.7,0,4.7,0,4.7,0,4.7,0,4.7,0,4.7
110 Computer and information systems managers 0110 (SOC 11-3021),"2,410",334,100,1.5,21.2,5.1,65.6,6.6,0,1.5,7.7,4.3,0,1.5,2.9,5.8,0.4,0.7,2.5,1.8
          Male,"1,210",231,50.2,7.3,14.1,4.2,28,6,0,1.5,5.6,3.9,0,1.5,1,5.4,0.4,0.7,1.2,1.2
          Female,"1,200",250,49.8,7.2,6.8,2.9,37.6,7.4,0,1.5,1.9,1.4,0,1.5,2.1,5.7,0,1.5,1.2,1.4
120 Financial managers 0120 (SOC 11-3031),"3,045",372,100,1.2,12.2,3.3,76,5.2,0.5,0.8,3.3,2.9,0,1.2,2.8,4.8,0.8,1.2,4.4,3
          Male,945,176,31,5.1,5.4,2.2,21.8,4.7,0.5,0.8,0,1.2,0,1.2,2.5,4.7,0.8,1.2,0.1,0.3
          Female,"2,100",325,69,5.1,6.7,2.5,54.2,5.8,0,1.2,3.3,2.9,0,1.2,0.3,4.2,0,1.2,4.3,3.1
135 Compensation and benefits managers 0135 (SOC 11-3111),115,67,100,27.2,17.4,22.7,78.3,30.1,0,27.2,0,27.2,0,27.2,0,27.2,0,27.2,8.7,15.5
          Male,15,19,13,17.5,8.7,12.5,3.5,7.6,0,27.2,0,27.2,0,27.2,0,27.2,0,27.2,0,27.2
          Female,105,66,91.3,19.1,13,19.2,73.9,31.4,0,27.2,0,27.2,0,27.2,0,27.2,0,27.2,8.7,15.5
136 Human resources managers 0136 (SOC 11-3121),"1,940",305,100,1.9,9.5,4.2,82.5,5.5,0,1.9,3.1,2.5,0,1.9,0.5,6.6,1.8,2.1,2.3,2.2
          Male,660,197,34,7.8,5.7,3.3,25.5,7.1,0,1.9,1,1.7,0,1.9,0,1.9,1,1.8,0.8,1.2
          Female,"1,280",232,66,7.7,3.9,2.6,57,7.5,0,1.9,2.1,2,0,1.9,0.5,6.6,0.8,1.3,1.8,2.2
137 Training and development managers 0137 (SOC 11-3131),120,68,100,26.3,33.3,26.4,50,26.9,0,26.3,0,26.3,0,26.3,16.7,108.9,0,26.3,0,26.3
          Male,50,43,41.7,29.4,8.3,15.1,16.7,17.9,0,26.3,0,26.3,0,26.3,16.7,108.9,0,26.3,0,26.3
          Female,65,52,54.2,29.3,25,25.3,33.3,26.7,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3,0,26.3
140 Industrial production managers 0140 (SOC 11-3051),220,97,100,15.6,25,21,56.8,22.2,0,15.6,0,15.6,0,15.6,4.5,58,11.4,12.1,0,15.6
          Male,105,65,47.7,19.5,13.6,16.6,20.5,19.7,0,15.6,0,15.6,0,15.6,4.5,58,6.8,11.1,0,15.6
          Female,115,62,52.3,19.6,11.4,13.3,36.4,20.5,0,15.6,0,15.6,0,15.6,0,15.6,4.5,6.4,0,15.6
150 Purchasing managers 0150 (SOC 11-3061),"1,415",302,100,2.6,12,5.6,81.3,6.5,0,2.6,0,2.6,0,2.6,2.5,9.5,3.2,2.6,1.1,1.8
          Male,490,155,34.6,8.5,6,3.8,26.1,7.9,0,2.6,0,2.6,0,2.6,0,2.6,2.5,2.4,0,2.6
          Female,925,237,65.4,8.4,6,3.6,55.1,9.6,0,2.6,0,2.6,0,2.6,2.5,10.6,0.7,1,1.1,1.8
"160 Transportation, storage, and distribution managers 0160 (SOC 11-3071)","1,105",252,100,3.3,9,5.7,81,8,0,3.3,1.8,2.1,0,3.3,2.7,11.9,5.9,5.3,0,3.3
          Male,805,219,72.9,9,5.4,4.1,57.9,9,0,3.3,0.9,1.3,0,3.3,2.7,11.9,5.9,5.3,0,3.3
          Female,300,113,27.1,9,3.6,3.2,23.1,8.9,0,3.3,0.9,1.3,0,3.3,0,3.3,0,3.3,0,3.3
"205 Farmers, ranchers, and other agricultural managers 0205 (SOC 11-9013)",150,86,100,21.9,80,24.8,10,15.7,0,21.9,2.7,6.6,0,21.9,0,21.9,10,17.3,0,21.9
          Male,130,79,86.7,19.7,63.3,28,10,15.7,0,21.9,2.7,6.6,0,21.9,0,21.9,10,17.3,0,21.9
          Female,25,33,16.7,20.3,16.7,20.3,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9,0,21.9
220 Construction managers 0220 (SOC 11-9021),"2,245",329,100,1.7,32.3,7.5,49,7.7,0,1.7,3.6,2.2,0,1.7,1.1,5.9,7.6,4.1,6.5,3.4
          Male,"2,020",329,90,5.3,30.1,7.1,41.6,7.2,0,1.7,3.1,2.1,0,1.7,1.1,5.9,7.6,4.1,6.5,3.4
          Female,230,120,10.2,5.3,2.2,1.7,7.3,4.9,0,1.7,0.4,0.8,0,1.7,0,1.7,0,1.7,0,1.7
230 Education administrators 0230 (SOC 11-9030),"3,900",411,100,1,20.1,4.4,71.9,4.9,0.4,0.6,2.4,1.5,0,1,2.8,3.8,1.3,1.3,1,1
          Male,"1,265",236,32.4,4.9,5.6,2.1,23.7,5,0.4,0.6,1,0.9,0,1,0.6,3.3,0.5,0.7,0.6,0.8
          Female,"2,635",331,67.6,4.9,14.5,3.4,48.2,5.9,0,1,1.4,1.3,0,1,2.2,3.3,0.8,0.9,0.5,0.6
300 Architectural and engineering managers 0300 (SOC 11-9041),220,97,100,15.6,38.6,21.1,50,19.4,0,15.6,9.1,15,0,15.6,4.5,58,0,15.6,0,15.6
          Male,205,93,93.2,11,31.8,20.5,50,19.4,0,15.6,9.1,15,0,15.6,4.5,58,0,15.6,0,15.6
          Female,15,26,6.8,11.7,6.8,11.7,0,15.6,0,15.6,0,15.6,0,15.6,0,15.6,0,15.6,0,15.6
310 Food service managers 0310 (SOC 11-9051),"2,450",409,100,1.5,21.6,6.1,50.4,8.4,0,1.5,10.8,4.9,0,1.5,0.8,5.4,2.7,2.3,13.9,7.4
          Male,"1,430",310,58.4,9,14.5,4.8,29.6,7.3,0,1.5,5.7,3.2,0,1.5,0.8,5.4,0.8,1,6.7,4.2
          Female,"1,020",286,41.6,9,7.1,3.9,20.8,6.5,0,1.5,4.9,4.2,0,1.5,0,1.5,1.8,2.1,6.9,5
340 Lodging managers 0340 (SOC 11-9081),225,105,100,15.3,0,15.3,82.2,18.1,0,15.3,11.1,16.6,0,15.3,0,15.3,0,15.3,6.7,11.7
          Male,110,70,48.9,21.1,0,15.3,33.3,20.6,0,15.3,8.9,16.8,0,15.3,0,15.3,0,15.3,6.7,11.7
          Female,115,71,51.1,22.1,0,15.3,48.9,22.2,0,15.3,1.8,3.5,0,15.3,0,15.3,0,15.3,0,15.3
350 Medical and health services managers 0350 (SOC 11-9111),"1,720",266,100,2.2,15.7,5.8,73,6.9,2.3,3.6,3.5,2.5,0,2.2,0.8,7.5,1.5,1.7,2.9,2.7
          Male,390,146,22.7,7.4,4.7,3.5,16.9,7.5,0,2.2,0.6,1,0,2.2,0.6,7.4,0,2.2,0,2.2
          Female,"1,330",228,77.3,7.3,11,4.9,56.1,8.1,2.3,3.6,2.9,1.9,0,2.2,0.2,7.5,1.5,1.7,2.9,2.7
360 Natural sciences managers 0360 (SOC 11-9121),20,23,100,71.2,20,80,50,50,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
          Male,0,127,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
          Female,20,23,100,71.2,20,80,50,50,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2,0,71.2
"410 Property, real estate, and community association managers 0410 (SOC 11-9141)","2,080",341,100,1.8,12.3,4.4,80.3,5.5,0,1.8,2.2,2,0,1.8,0,1.8,0,1.8,5,4
          Male,935,226,45,7.3,6.3,3.1,36.5,8.2,0,1.8,0.7,1.4,0,1.8,0,1.8,0,1.8,1.4,1.8
          Female,"1,140",229,54.8,7.4,6,3.1,43.8,8,0,1.8,1.4,1.8,0,1.8,0,1.8,0,1.8,3.6,3.6
420 Social and community service managers 0420 (SOC 11-9151),"1,955",310,100,1.9,28.4,5.9,65.5,6.3,0,1.9,1.5,1.8,0,1.9,1,6.8,0.2,0.5,3.3,2.6
          Male,605,181,30.9,7.8,10.2,4.3,17.1,6.2,0,1.9,1.5,1.8,0,1.9,1,6.8,0.2,0.5,0.5,1.1
          Female,"1,350",261,69.1,7.8,18.2,4.8,48.3,7.9,0,1.9,0,1.9,0,1.9,0,1.9,0,1.9,2.6,2.4
"430 Miscellaneous managers, including funeral service managers and postmasters and mail superintendents 0430 (SOC 11-9XXX)","12,650",831,100,0.3,22.1,2.4,67.6,2.5,0.1,0.2,2.8,1.1,0,0.3,2.4,1.4,2.3,1,2.7,0.9
          Male,"6,310",670,49.9,3.9,14.4,1.9,30.2,3.2,0,0.3,1.6,0.9,0,0.3,0.8,1.2,1.5,0.8,1.3,0.8
          Female,"6,345",614,50.2,3.9,7.7,1.6,37.4,3.7,0.1,0.2,1.2,0.5,0,0.3,1.6,1.2,0.8,0.5,1.4,0.7
"500 Agents and business managers of artists, performers, and athletes 0500 (SOC 13-1011)",170,88,100,19.7,14.7,17.4,64.7,32.5,20.6,26.3,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7
          Male,40,51,23.5,28.8,0,19.7,23.5,28.8,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7
          Female,125,83,73.5,29.1,14.7,17.4,38.2,31.1,20.6,26.3,0,19.7,0,19.7,0,19.7,0,19.7,0,19.7
"510 Buyers and purchasing agents, farm products 0510 (SOC 13-1021)",4,8,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
          Male,0,127,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100
          Female,4,8,100,100,0,100,100,100,0,100,0,100,0,100,0,100,0,100,0,100
"520 Wholesale and retail buyers, except farm products 0520 (SOC 13-1022)",465,129,100,7.7,37.6,16.6,44.1,17,0,7.7,0,7.7,0,7.7,8.6,29,0,7.7,8.6,10.8
          Male,250,107,53.8,15.8,20.4,11.7,24.7,15.4,0,7.7,0,7.7,0,7.7,0,7.7,0,7.7,8.6,10.8
          Female,215,85,46.2,15.7,18.3,12.8,19.4,9.8,0,7.7,0,7.7,0,7.7,8.6,29,0,7.7,0,7.7
"530 Purchasing agents, except wholesale, retail, and farm products 0530 (SOC 13-1023)","1,580",300,100,2.3,15.5,5.3,73.4,6.3,0,2.3,5.1,2.6,0,2.3,2.5,8.6,1.9,2.1,1.6,1.8
          Male,370,143,23.4,7.4,6,3.4,13.6,6.1,0,2.3,2.5,2.1,0,2.3,0,2.3,0.9,1.4,0.6,1
          Female,"1,210",245,76.6,7.4,9.5,4.1,59.8,8.7,0,2.3,2.5,2.1,0,2.3,2.5,8.5,0.9,1.6,1.3,1.7
"540 Claims adjusters, appraisers, examiners, and investigators 0540 (SOC 13-1030)",550,184,100,6.6,14.5,9.6,80.9,10.7,0,6.6,0.7,2.4,0,6.6,0,6.6,0,6.6,3.6,4.5
          Male,180,93,32.7,14,7.3,6.1,25.5,13.4,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6,0,6.6
          Female,365,150,66.4,13.3,7.3,7.8,55.5,13.9,0,6.6,0.7,2.4,0,6.6,0,6.6,0,6.6,3.6,4.5
565 Compliance officers 0565 (SOC 13-1041),"1,165",300,100,3.2,24.9,10.8,63.1,11.6,0,3.2,1.3,1.4,0,3.2,9.9,13.7,0,3.2,1.3,2.8
          Male,490,177,42.1,11.3,14.6,9.7,21.5,11.2,0,3.2,0.3,1.4,0,3.2,4.3,12.7,0,3.2,1.3,2.8
          Female,675,226,57.9,11.3,10.3,6,41.6,11.3,0,3.2,0.3,1.5,0,3.2,5.6,12.2,0,3.2,0,3.2
600 Cost estimators 0600 (SOC 13-1051),180,102,100,18.7,41.7,27.9,58.3,28.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
          Male,120,81,66.7,27.1,30.6,26.2,36.1,28,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
          Female,60,60,33.3,27.9,11.1,18.1,22.2,25.1,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7,0,18.7
630 Human resources workers 0630 (SOC 13-1070),"5,005",461,100,0.7,11,2.9,84.9,3.1,0,0.7,0.7,1,0,0.7,0.7,2.6,0.9,0.8,2,1.5
          Male,960,200,19.2,3.5,2.5,1.2,15.1,3.6,0,0.7,0.2,0.5,0,0.7,0.4,2.6,0.2,0.3,0.7,0.9
          Female,"4,045",402,80.8,3.5,8.4,2.8,69.7,4.4,0,0.7,0.4,0.8,0,0.7,0.3,2.6,0.7,0.7,1.2,1.2
"640 Compensation, benefits, and job analysis specialists 0640 (SOC 13-1141)",715,186,100,5.1,9.8,7.9,87.4,9.2,0,5.1,2.1,3.4,0,5.1,0,5.1,0,5.1,1.4,1.9
          Male,65,57,9.1,7.6,1.4,3.1,7,7.1,0,5.1,0,5.1,0,5.1,0,5.1,0,5.1,0,5.1
          Female,650,176,90.9,7.3,8.4,7.5,79.7,10.5,0,5.1,2.1,3.4,0,5.1,0,5.1,0,5.1,1.4,1.9
650 Training and development specialists 0650 (SOC 13-1151),645,203,100,5.6,2.3,4,86,8.4,0,5.6,0,5.6,0,5.6,3.9,20.1,3.9,5,3.9,5
          Male,260,142,40.3,16.2,2.3,4,31.8,14.5,0,5.6,0,5.6,0,5.6,2.3,20,0,5.6,3.9,5
          Female,385,141,59.7,16.2,0,5.6,54.3,16.4,0,5.6,0,5.6,0,5.6,1.6,19.8,3.9,5,0,5.6
700 Logisticians 0700 (SOC 13-1081),235,74,100,14.7,14.9,14.7,68.1,20.9,0,14.7,8.5,14.9,0,14.7,0,14.7,8.5,11.7,0,14.7
          Male,135,63,57.4,21.1,6.4,10.9,34,18.2,0,14.7,8.5,14.9,0,14.7,0,14.7,8.5,11.7,0,14.7
          Female,100,59,42.6,21.3,8.5,10.5,34,21.5,0,14.7,0,14.7,0,14.7,0,14.7,0,14.7,0,14.7
710 Management analysts 0710 (SOC 13-1111),"3,625",473,100,1,17.7,4.5,75.2,4.7,0.7,1.1,2.6,1.7,0,1,0.4,3.6,0.8,0.9,2.6,1.7
          Male,"1,505",264,41.5,4.9,10.1,3.5,26.8,5.1,0.7,1,1.5,1.1,0,1,0,1,0.6,0.9,1.9,1.5
          Female,"2,125",332,58.6,5,7.4,2.7,48.3,5.5,0.1,0.2,1.2,1.2,0,1,0.4,3.6,0.3,0.5,0.7,1.1
"725 Meeting, convention, and event planners 0725 (SOC 13-1121)",630,185,100,5.8,19,10.5,78.6,11.7,0,5.8,0,5.8,0,5.8,0,5.8,0,5.8,1.6,3.6
          Male,45,40,7.1,6.5,1.6,2.3,5.6,5.5,0,5.8,0,5.8,0,5.8,0,5.8,0,5.8,0.6,1.5
          Female,585,183,92.9,6.5,17.5,10.4,73.8,12.2,0,5.8,0,5.8,0,5.8,0,5.8,0,5.8,1.6,2.8
726 Fundraisers 0726 (SOC 13-1131),285,106,100,12.3,52.6,20.2,47.4,19.8,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3
          Male,45,36,15.8,10,12.3,10.2,3.5,7.1,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3
          Female,235,86,82.5,11,40.4,16.4,42.1,20.3,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3,0,12.3
735 Market research analysts and marketing specialists 0735 (SOC 13-1161),420,158,100,8.5,20.2,15.3,71.4,18.8,0,8.5,2.4,4.6,0,8.5,4.8,31.1,0,8.5,0,8.5
          Male,125,79,29.8,16.6,19,15.1,8.3,8.2,0,8.5,2.4,4.6,0,8.5,0,8.5,0,8.5,0,8.5
          Female,290,134,69,16.3,1,2.4,63.1,18.4,0,8.5,0,8.5,0,8.5,4.8,31.1,0,8.5,0,8.5
"740 Business operations specialists, all other 0740 (SOC 13-1199)","1,730",293,100,2.1,15.6,6,75.1,7,0.2,0.6,5.2,4.1,0,2.1,0.6,7.4,0.6,1,2.6,2.9
          Male,385,129,22.3,7.2,6.1,4.7,12.4,4.8,0,2.1,3.2,3.3,0,2.1,0,2.1,0.6,1,0.2,0.8
          Female,"1,345",277,77.7,7.1,9.5,5.1,63,7.6,0.2,0.6,2,2.2,0,2.1,0.6,7.4,0,2.1,2.3,2.9
800 Accountants and auditors 0800 (SOC 13-2011),"8,630",710,100,0.4,14.7,2.4,74.7,3.4,0,0.4,7.1,2.2,0,0.4,1.3,1.7,1.3,0.7,1.1,0.7
          Male,"2,900",414,33.6,3.4,6.4,1.5,23.7,3.4,0,0.4,2.4,1.2,0,0.4,0.6,1.6,0.3,0.3,0.2,0.3
          Female,"5,730",511,66.4,3.4,8.3,1.9,51,4.2,0,0.4,4.7,1.5,0,0.4,0.6,1.5,0.9,0.7,0.9,0.6
810 Appraisers and assessors of real estate 0810 (SOC 13-2021),55,51,100,43,7.3,11.7,90.9,27.4,0,43,0,43,0,43,0,43,0,43,7.3,13.4
          Male,10,20,18.2,37.8,0,43,18.2,32.1,0,43,0,43,0,43,0,43,0,43,7.3,13.4
          Female,45,46,81.8,38.7,7.3,11.7,72.7,45.1,0,43,0,43,0,43,0,43,0,43,0,43
820 Budget analysts 0820 (SOC 13-2031),"1,535",262,100,2.4,6.2,3.4,88.6,5.3,0,2.4,0,2.4,0,2.4,0.3,8.3,3.3,4.9,1.3,1.5
          Male,265,115,17.3,6.7,1,1.3,12.7,5.1,0,2.4,0,2.4,0,2.4,0,2.4,3.3,4.9,0,2.4
          Female,"1,270",230,82.7,6.5,5.2,3.1,75.9,7.2,0,2.4,0,2.4,0,2.4,0.3,8.3,0,2.4,1.3,1.5
830 Credit analysts 0830 (SOC 13-2041),25,33,100,63.7,80,80,40,60,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Male,20,32,80,80,80,80,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
          Female,10,14,40,60,0,63.7,40,60,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7,0,63.7
840 Financial analysts 0840 (SOC 13-2051),55,37,100,43,0,43,100,43,0,43,0,43,0,43,0,43,0,43,0,43
          Male,35,36,63.6,34.8,0,43,63.6,34.8,0,43,0,43,0,43,0,43,0,43,0,43
          Female,20,17,36.4,32.4,0,43,36.4,32.4,0,43,0,43,0,43,0,43,0,43,0,43
850 Personal financial advisors 0850 (SOC 13-2052),645,211,100,5.6,17.8,11.5,66.7,12.9,0,5.6,1.6,2.3,0,5.6,4.7,20.3,9.3,9.7,0,5.6
          Male,325,165,50.4,17.6,12.4,9.3,34.1,16.7,0,5.6,0,5.6,0,5.6,0,5.6,3.1,6.2,0,5.6
          Female,320,143,49.6,17.6,5.4,6.6,31.8,16.3,0,5.6,1.6,2.3,0,5.6,4.7,20.3,6.2,8.7,0,5.6
860 Insurance underwriters 0860 (SOC 13-2053),125,75,100,25.5,40,23.5,60,23.6,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
          Male,70,56,56,28.6,20,21.7,40,26.1,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
          Female,55,45,44,28.6,20,21.7,24,24.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5,0,25.5
900 Financial examiners 0900 (SOC 13-2061),15,22,100,82.2,0,82.3,66.7,66.7,0,82.3,26.7,73.3,0,82.3,0,82.3,0,82.3,0,82.3
          Male,4,12,26.7,73.3,0,82.3,0,82.3,0,82.3,26.7,73.3,0,82.3,0,82.3,0,82.3,0,82.3
          Female,10,17,66.7,66.7,0,82.3,66.7,66.7,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3,0,82.3
910 Credit counselors and loan officers 0910 (SOC 13-2070),"1,550",275,100,2.4,9,5.2,81,7.8,0,2.4,3.9,3.3,0,2.4,0,2.4,2.9,3.5,2.9,2.4
          Male,805,197,51.9,7.9,6.8,4.6,39,8.5,0,2.4,3.2,3,0,2.4,0,2.4,2.9,3.5,0,2.4
          Female,740,171,47.7,8,2.3,2.4,41.9,7.7,0,2.4,1,1.4,0,2.4,0,2.4,0,2.4,2.9,2.4
"930 Tax examiners and collectors, and revenue agents 0930 (SOC 13-2081)",80,47,100,35.3,12.5,21,56.3,36.4,0,35.3,0,35.3,0,35.3,0,35.3,25,38.7,0,35.3
          Male,10,16,12.5,21.7,0,35.3,12.5,21.7,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3,0,35.3
          Female,70,45,87.5,24.7,12.5,21,43.8,34.9,0,35.3,0,35.3,0,35.3,0,35.3,25,38.7,0,35.3
940 Tax preparers 0940 (SOC 13-2082),265,104,100,13.2,11.3,11.2,83,13.9,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,3.8,8.6
          Male,35,31,13.2,11.6,0,13.2,13.2,11.6,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2
          Female,230,97,86.8,12.1,11.3,11.2,69.8,17.4,0,13.2,0,13.2,0,13.2,0,13.2,0,13.2,3.8,8.6
"950 Financial specialists, all other 0950 (SOC 13-2099)",205,91,100,16.6,4.9,7.3,95.1,7.8,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
          Male,105,79,51.2,25.6,0,16.6,51.2,25.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
          Female,95,54,46.3,27.1,4.9,7.3,41.5,26,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6,0,16.6
1005 Computer and information research scientists 1005 (SOC 15-1111),145,68,100,22.5,37.9,27.5,27.6,25.4,0,22.5,20.7,22.8,0,22.5,0,22.5,10.3,15.5,0,22.5
          Male,110,61,75.9,21,37.9,27.5,13.8,18.4,0,22.5,20.7,22.8,0,22.5,0,22.5,0,22.5,0,22.5
          Female,35,34,24.1,21.4,0,22.5,13.8,18.3,0,22.5,0,22.5,0,22.5,0,22.5,10.3,15.5,0,22.5
1006 Computer systems analysts 1006 (SOC 15-1121),"2,845",386,100,1.3,22.7,5.4,66.3,6,0,1.3,7.9,3.6,0,1.3,1.9,4.9,0.5,0.9,0.5,0.7
          Male,"1,730",319,60.8,6.9,18.1,4.7,33.7,6.4,0,1.3,6.9,3.5,0,1.3,1.6,4.9,0.1,0.7,0.4,0.7
          Female,"1,115",239,39.2,6.9,4.6,2.2,32.5,6.8,0,1.3,1.2,1.1,0,1.3,0.4,4.5,0.4,0.6,0.1,0.1
1007 Information security analysts 1007 (SOC 15-1122),925,252,100,4,28.1,12.1,65.9,12.2,0,4,4.9,5.9,0,4,0,4,0,4,1.1,1.7
          Male,440,154,47.6,13.2,14.6,5.9,27.6,11.4,0,4,4.9,5.9,0,4,0,4,0,4,0,4
          Female,490,192,53,13.2,13.5,11.8,38.4,11.3,0,4,0,4,0,4,0,4,0,4,1.1,1.7
1010 Computer programmers 1010 (SOC 15-1131),"1,775",340,100,2.1,28.2,7.5,51.5,7.7,2.3,2.8,10.1,5.7,0,2.1,1.1,7.3,2.5,2.7,4.2,3.2
          Male,"1,090",291,61.4,9.2,19.7,7.3,27,7.7,0,2.1,8.5,5.8,0,2.1,1.1,1.3,2,2.5,3.4,2.9
          Female,685,183,38.6,9.1,8.2,3.4,24.5,6.2,2.3,2.8,1.7,2,0,2.1,0,2.1,0.8,1.2,0.8,1.8
"1020 Software developers, applications and systems software 1020 (SOC 15-113X)","5,650",552,100,0.7,17.9,3.2,68,4.2,0,0.7,9.3,2.4,0.2,0.4,3.1,3,0.3,0.4,1.2,0.9
          Male,"3,115",440,55.1,4.7,12.8,2.8,31.8,4.5,0,0.7,7.1,2.1,0,0.7,2.1,2.9,0.2,0.4,1.2,0.9
          Female,"2,535",329,44.9,4.7,5,1.8,36.3,4.3,0,0.7,2.3,1.4,0.2,0.4,1,2.4,0.1,0.2,0,0.7
